would	 《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)
other	 《no,one,some,anyなどを伴って》『別の』,ほかの,違った / 《other thanの形で補語に用いて》…とは違った,…とは別の / 《the ~》(二者のうちの)『もう一方の』,他方の;『反対の』,向こう側の;(三者以上のうち)それ以外の,残りの / 『ほかのもの』,ほかの人[たち] / 《the ~》(二つの中で)『もう一方のもの』(『人』り,(三つ以上の中で)『これ以外のもの』(『人』),残りのもの(人) / 《『other』 『than』の形で》(…と)別の方法では,(…)ではなく
about	 …『について』,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) / 《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と / 《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) / …『の身の回りに』,を手もとに / …の身辺に,のどこかに / …に従事して,にかかわって / (また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) / (また《米》『around』)『周囲に』 / 《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と / 《おもに英》(また,おもに《米》『around』)あたりに / 《しばしば数詞と共に用いて》『およそ』,約 / (また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に / 順番に,交互に / 《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて 
could	 conの過去形 / 《直説法過去》 / 《能力》…『することができた』 / 《潜在的傾向》…することがあった / 《従節でcanのすべての用法における時制の一致》 / 《仮定法》 / 《従節で》a)《現在の事実の反対》…『できる[ならば]』:b)(《過去の事実の反対》…『できていた[ならば]』 / 《主節で》a)《現在の事実の反対》…『できるだろうに』:b)《過去の事実の反対》…『できただろうに』 / 《控え目な表現・丁寧な表現》a)《可能性・推量》(平叙文で)もしかすると…かもしれない;(否定文で)…のはずがないのだが;(疑問文で)いったい…かしら:b)《許可の要請》(疑問文で)…してもよいでしょうか:c)《依頼》(疑問文で)…してくださいませんか 
first	 (順序・時間的に)『第1の』,1番目の;最初の / (階級・等級・重要度などが)『1番の』,第一級の,首席の,最も重要な / 『最初に』,まっ先に;1番目に,第1位に;初めて / (…するくらいなら)むしろ,いっそ(…のほうがいい)(rather, sooner) / 《通例the~》『最初のもの』;(月の)第1日;(時代の)第1年 / 《通例the~》初め,始まり / 〈U〉ファーストギヤ,低速ギヤ / 〈C〉《英》(競技などの)第1位,1等(試験の)第一級 / 《複数形で》最高級品,一級品 / 〈U〉=first base
think	 『…‘を'考える』,心に抱く,想像する,思い描く / …‘と'『思う』,信じる,判断する:《think+that 節…であると思う》 / 『…‘を'企てる』,もくろむ / 《英》…を予期する / 《しばしば think oneself の後に形容詞・副詞[句]を伴って》考えて…の状態にする / 『考える』,思う;思案する,熟考する;予期する / (…について)考えること,一考《+about+名》 / 思考の,思考を促す
after	 《時・順序》…『の後に』,…後に;…の次に / …『を求めて』,の後を追って / …『の名をとって』,にならって;…ふうに(の) / …のことを心配して,に関して / …『だから』,…の結果 / 《前後に同じ名詞を用いて連続・反復など》 / 《時》…『した後で(に)』,してから / 《順序・時》『後に』,後ろから,後で / 後の,次の 
great	 (規模・範囲などが)『大きい』,巨大な / 『多数の』;『多量の』 / 『偉大な』,すぐれた;《the Great》《称号・肩書に用いて》 / (身分・地位などの)高い / 気高い,崇高な / 《名詞の前にのみ用いて》重要な,重大な / 《人を表す名詞の前にのみ用いて》大の,たいへんな / 《話》すてきな,すばらしい / 《名詞的に》《the great》偉大な人たち,重要人物 / とても,すごく / とてもよく(very well) / 大物,花形
those	 『それ[ら]』,あれ[ら],あの人たち / 《複数名詞の反復を避けて》(…の)『それ』《+of+名》 / 《those who…の形で》(…である,…する)『人たち』 / 『あれらの』,あの,それらの,その / 《those…who(which)…の形で》(…するような,…であるような)『そんな』 
place	 〈C〉『場所』,『位置』;(物の占める)空間 / 〈C〉『地域』,地方,土地 / 〈C〉(特定の目的のための)『場所』,建物 / 〈C〉《話》住居,家 / 〈C〉(体や物などの表面の)箇所,局部 / 〈C〉(書物中の)読んでいる家所 / 〈C〉席,座席 / 〈C〉『地位』,立場,境遇 / 〈C〉『職』,勤め口;(職場・学校などの)席,定員 / 〈C〉任務,役目 / 〈C〉(説明などの)順序,段階 / 〈C〉《米》(競馬などで)第2着 / 《多く固有名詞に用いて,P-》通り,広小路;広場 / 〈C〉(数字の)けた,位(くらい) / 《場所を表す副詞[句]を伴って》…‘を'『置く』,配置する,据える / (職,地位に)〈人〉‘を'つかせる,任ずる,〈人〉‘に'(…の)職を見つけてやる《+『名』+『in』(『as, with』)+『名』》 / (人・物に)〈信頼・希望など〉‘を'置く,かける《+『名』+『on』(『in』)+『名』》 / (店などに)(…の)〈注文〉‘を'出す《+『名』〈注文〉+『for』+『名』〈品物〉+『with』+『名』〈店〉》 / (…だと)…‘を'見きわめる,思い出す《+『名』+『as』+『名』》 / 《順位を示す副詞を伴って》(競争などで)…位(着)になる
world	 《the world》『世界』,地球 / 《the world》(特定の時代・特徴・地域に限られた)世界,《one's world》(個人の生活・経験などの)世界 / 《the world》宇宙 / 〈C〉(特に生物がいる)天体 / 《the world》『世界の人たち』,世間の人たち / 《the world》『世間』,世の中,現世;《文》世俗,俗事 / 《修飾語を伴って》《the world》(特定のグループの作る)世界,(動植物の生存する)界 / 《a world, the world》大量(の…),たくさん(の…)《+of+名》
