abo	 《オーストラリア英語》《俗・禁句》原住民(aborigine) 
act	 『行い』,『行為』 / 《しばしばA-》法令,条令 / 《しばしばA-》(芝居の1つの)『幕』;(演芸などの)出し物の一つ / (見せかけの)お芝居,演技 / 『行動する』,行う / 《様態を表す副詞[句]を伴って》わざとふるまう,見せかける / 〈人・物が〉(…として)動く,役割をはたす《+『as』+『名』》 / 〈薬が〉『作用する』,きく / 舞台に立つ,出演する / 〈…の役〉'を'『演ずる』;〈劇〉'を'上演する / …‘に'ふさわしくふるまう / …‘に'見せかける,‘の'ふりをする
ado	 騒ぎ,騒動(fuss);めんどう 
aft	 船尾に,船尾の方に / 《補語にのみ用いて》船尾の
age	 〈U〉(一般に)『年齢』,寿命;〈C〉(個々の)『年齢』,年 / 〈U〉成年(おとなとしての資格・権利を得る年齢;通例18または21歳) / 〈U〉『老齢』;《集合的に》老人たち / 〈U〉(人生の)『一時期』;〈C〉世代(generation) / 〈U〉〈C〉《しばしばA-》(歴史上の)『時代』 / 〈C〉《話》長い間 / 年をとる,ふける;〈物が〉古くなる / 〈年〉'を'とらせる;〈物〉'を'古びさせる
ago	 《期間を表す語[句]の後に用いて》(今から)…『前に』 / 《longの後に用いて》『以前に』
aid	 …'を'『助ける』,援助する / 〈U〉『助力』,援助;(医者などの)手当て / 〈C〉(…の)助けとなるもの,援助者;助手(assistant)《+『to』+『名』》 
ail	 〈慢性的・長期的な病気・心配ごとが〉…'を'苦しめる,悩ませる / (慢性・長期の)病気をしている
aim	 (…に)〈銃・矢・ミサイルなど〉‘の'『ねらいをつける』,'を'向ける,〈物〉'を'ねらって投げつける《+『名』+『at』+『名』》 / (…に)〈批判・皮肉など〉'を'『向ける』《+『名』+『at』+『名』》 / (…を)『ねらう』,(…に)ねらいをつける《+『at』+『名』》 / 『目ざす』,目的とする / 〈U〉(銃などの)『照準』,ねらい / 〈C〉〈U〉『目的』,意図,ねらい
air	 〈U〉『空気』,大気 / 《the ~》『空中』,空間,空(sky) / 《古》〈C〉そよ風,微風(breeze) / 《文》〈C〉(音楽の)ふし,旋律(melody) / 〈C〉様子,態度,風さい / 《複数形で》気どった様子 / 〈衣服など〉'を'空気にさらす,風にあてる / 〈部屋〉‘に'風を通す / 〈うわさ・意見など〉'を'言いふらす 
alb	 アルバ(司祭がミサで着る祭服) 
ale	 エール(色が薄いビールの一種;米国では普通のビールより苦くアルコール含有量の多いものをいう) 
alp	 高山,高峰 
and	 《語・句・節を対等に結んで》…『と』…,…や…,および / 《数詞を結合して》…『足す』…,…に加えて / …『しかも』…,…して,同時に… / 《時間的に》『そして』,それから,すると(and then) / 《当然の帰結として》…『ので』,…だから(and so) / 《おもに話》《命令文などの後で》『そうすれば』,そうしたら / 《追加・強調して》それに,しかも / 《対照的な内容を導いて》ところが,しかし(but) / 《譲歩的に》それなのに,それでいながら / 《A and Bで一体の関係を表して》《単数扱い》 / 《同一語を反復して多数・継続などを表して》 / 《同一の複数名詞を結合して変化・種類などを表して》 / 《話》《「形容詞+and+形容詞」の形で前の形容詞が後に副詞的に働く》 / 《話》《「動詞come, goなど+and+動詞」の形でandとその後の動詞が不定詞の働きをして》 / 《「動詞+and+動詞」の形で後の動詞が現在分詞の意を表して》 / 《話》《文頭において前の質問・意見などに同意を示して》そうとも,そして(Yes!and) / 《話》《文頭に置いて驚き・疑念・非難などを表して》ほんとうに;…なのに 
ant	 『アリ』 
ant	 =ain't 
any	 《疑問文・条件節で》『いくらかの』,何か,だれか;《否定文で》『少しも』,何も,だれも / 《肯定文で,単数名詞につけて》『どんな…でも』 / 《否定文で》『少し[も],だれも』;《疑問文・条件節で》(…の)『どれか』,いくらか,だれか《+『of』+『名』》 / 《肯定文で》『どれでも,だれでも』,少しでも;(…の)どれでも,だれでも《+『of』+『名』》 / 《比較級とともに用いて》『少しでも』,いくらかでも / 《米》《動詞を修飾して》少しは,少しでも
ape	 サル(monkey);(特に,チンパンジー・ゴリラなどの)尾なしザル,類人猿 / 人まねをする人 / …のまねをする,'を'まねる(mimic) 
apt	 《補語にのみ用いて》《『be apt to』 do》(望ましくないことについて)…『しがちである』)(be liable to do) / 《補語にのみ用いて》《『be apt to』 do》《米話》…しそうである(be likely to do) / 『適した』,『ふさわしい』,適切な / 利発な,物覚えが早い
arc	 『弧』,円弧 / 電弧(2点間を弧状に流れる電流) / 弧を描く / 電弧を生じる
are	 …『である』,…です(beの二人称の単数とすべての人称の複数の直説法現在形) 
ark	 〈U〉箱舟(Noahが家族や家畜を乗せて大洪水をのがれたという舟) / (また『the Ark of the Covenant』)約櫃(やくひつ)(モーセの十戒を刻んだ石を納めた箱 )
arm	 (人・猿の)『腕』;(四つ足の動物の前肢の)腕(手首から肩までの間;手はhand) / 腕のような物;(特に)いすのひじ掛け,樹の大枝
art	 〈U〉〈C〉『芸術』;《集合的に》芸術作品 / 〈C〉『技術』,技法,技巧;(何かをする)わざ,術,こつ / 〈U〉人為,人工 / 《複数形で》《単数扱い》『人文科学』(自然科学と区別して文学・哲学・音楽など);《複数扱い》=liberal arts / 〈U〉こうかつさ,ずるさ;(態度などの)わざとらしさ,作為 / 《通例複数形で》術策,手くだ(artifice)
ash	 〈U〉《しばしば複数形で;単数扱い》『灰』 / 〈U〉火山灰 / 《複数形で》(火葬された)遺骨,なきがら;(火事で焼けた)廃墟(はいきょ) 
ask	 〈事〉‘に'『ついて質問する』,'を'『尋ねる』,問う / (…について)〈人〉‘に'『質問する』,尋ねる,問う《+『名』〈人〉+『about』+『名』(do『ing』)》 / 〈事〉'を'『頼む』,求める,必要とする / (…を)〈人〉‘に'『頼む』,求める《+『名』〈人〉+『for』+『名』》 / (…に対して)〈ある金額〉'を'請求する《+『名』+『for』+『名』》 / 〈人〉'を'招待する,招く(invite) / (…について)『質問する』,尋ねる《+『about』+『名』》 / 頼む,求める
asp	 アスプ(エジプトコブラなどアフリカ産の毒ヘビの総称) / (一般に)毒ヘビ
ate	 eatの過去形 
auk	 ウミスズメ科の鳥(ウミガラス,ウミスズメなど) 
ave	 ばんざい;ようこそ / ごきげんよう
awe	 『畏敬』(いけい),畏怖 / …‘に'畏敬の念を起こさせる
awl	 (靴屋などの)突きぎり 
bad	 『悪い』,不良の;不正な / 『適当でない』,欠陥のある / 《補語にのみ用いて》(…に)有害な《+『for』+『名』》 / 病気の / ひどい,激しい,重い / 腐敗した,腐った / 不快な,いやな / 『へたな』,まずい / 《補語にのみ用いて》《話》(…を)悪いと(残念に)思っている《+『about』+『名』(『wh-節』)》 / 悪いこと;悪い状態 / 《話》ひどく,大いに(badly) 
bag	 袋 / 袋状の物 / (女性の)ハンドバッグ;旅行かばん,スーツケース / (…の)1袋分の量《+『of』+『名』》 / (野球の)走塁ベース / 獲物入れ;(猟の)獲物 / …'を'袋に入れる / 《話》〈獲物〉'を'捕える / 《話》'を'失敬する,こっそりもらう / (からの袋のように)だらりと下がる,だぶだぶする
bah	 ふふん(嫌悪・軽べつの声) 
ban	 (法による)(…に対する)『禁止』,禁制(prohibition)《+『on』+『名』》 / (世論などの)反対,非難 / (教会の)破門 / (法律や社会的圧力によって)…'を'『禁ずる』,禁止する
bar	 (木または金属の)『棒』;棒状の物 / 横木,(戸・とびらなどの)かんぬき,横さん / (一般に)(…対する)『障害』《+『to』(『against』)+『名』》 / (また『sand bar』)(河口・港口の)砂州 / (光・色などの)線条,しま,帯 / (酒場・旅館などの)酒を出すカウンター;バー,酒場;簡易食堂 / 《the~》(法廷の裁判官席・被告席・弁護士席と一般席との間の)仕切り;《比諭(ひゆ)的に》法廷 / 《集合的に》弁護士団,法曹界;弁護士[業]: / (楽譜の小節を分ける)縦線;小節 / 〈戸・門など〉‘に'『かんぬきをさす』 / 〈道・通行など〉'を'『妨げる』,はばむ / 《通例受動態で》…‘に'線(筋)をつける / …'を'禁じる(forbid) / (…から)…'を'除外する,締め出す《+『名』+『from』(『out of』)+『名』》;(…に)…'を'とじ込める《+『名』+『in』+『名』》: / …の除いて(except) 
bat	 『コウモリ』 
bay	 『湾』,『入り江』 
bed	 〈C〉〈U〉『ベット』,『寝台』 / 〈U〉睡眠,宿泊 / 〈C〉『花壇,苗床…』養殖場 / 〈C〉(海・川などの)『床』,水底 / 〈C〉地層;(一般に)土台 / …‘に'寝床を与える / 〈子供など〉'を'寝かしつける / 《古》寝る,床につく
beg	 (…に)〈食物・衣服・金銭など〉'を'『くださいと頼む』,〈恩恵・許しなど〉'を'懇願する(ask for)《+『名』+『from』(『of』)+『名』》 / 〈人〉‘に'『懇願する』,熱心に頼む / 『施しを請う』;こじきをする / (…を)『熱心に頼む』,懇願する
